fp_page,page_type,ecr_type,player,id,pos,team,ecr,sd,best,worst,sportsdata_id,player_filename,yahoo_id,cbs_id,player_owned_avg,player_owned_espn,player_owned_yahoo,player_image_url,player_square_image_url,rank_delta,bye,mergename,scrape_date,tm
/nfl/rankings/best-ball-dst.php,best-dst,bp,Houston Texans,8120,DST,HOU,1.0,0.0,1,1,,houston-defense.php,,,94.2,,,,,,8.0,Houston Texans,2026-05-29,HOU
/nfl/rankings/best-ball-dst.php,best-dst,bp,Denver Broncos,8090,DST,DEN,2.0,0.0,2,2,,denver-defense.php,,,92.4,,,,,,10.0,Denver Broncos,2026-05-29,DEN
/nfl/rankings/best-ball-dst.php,best-dst,bp,Seattle Seahawks,8260,DST,SEA,3.0,0.0,3,3,,seattle-defense.php,,,95.2,,,,,,11.0,Seattle Seahawks,2026-05-29,SEA
/nfl/rankings/best-ball-dst.php,best-dst,bp,Los Angeles Rams,8280,DST,LAR,4.0,0.0,4,4,,los-angeles-rams-defense.php,,,76.1,,,,,,11.0,Los Angeles Rams,2026-05-29,LAR
/nfl/rankings/best-ball-dst.php,best-dst,bp,Philadelphia Eagles,8230,DST,PHI,5.0,0.0,5,5,,philadelphia-defense.php,,,81.3,,,,,,10.0,Philadelphia Eagles,2026-05-29,PHI
/nfl/rankings/best-ball-dst.php,best-dst,bp,Minnesota Vikings,8170,DST,MIN,6.0,0.0,6,6,,minnesota-defense.php,,,63.6,,,,,,6.0,Minnesota Vikings,2026-05-29,MIN
/nfl/rankings/best-ball-dst.php,best-dst,bp,Jacksonville Jaguars,8140,DST,JAC,7.5,0.5,7,8,,jacksonville-defense.php,,,65.5,,,,,,7.0,Jacksonville Jaguars,2026-05-29,JAC
/nfl/rankings/best-ball-dst.php,best-dst,bp,New England Patriots,8180,DST,NE,7.5,0.5,7,8,,new-england-defense.php,,,80.9,,,,,,11.0,New England Patriots,2026-05-29,NEP
/nfl/rankings/best-ball-dst.php,best-dst,bp,Los Angeles Chargers,8250,DST,LAC,9.0,0.0,9,9,,los-angeles-chargers-defense.php,,,48.3,,,,,,7.0,Los Angeles Chargers,2026-05-29,LAC
/nfl/rankings/best-ball-dst.php,best-dst,bp,Green Bay Packers,8110,DST,GB,10.0,0.0,10,10,,green-bay-defense.php,,,36.7,,,,,2.0,11.0,Green Bay Packers,2026-05-29,GBP
